Bricks,Ours,Liu_et_al
5,0.060000000000000005,1.0
28,0.10600000000000001,5.600000000000001
28,0.10600000000000001,5.600000000000001
32,0.114,6.4
35,0.12000000000000001,7.000000000000001
40,0.13,8.0
41,0.132,8.2
46,0.14200000000000002,9.199999999999996
47,0.14400000000000002,9.399999999999995
54,0.158,10.860890256157896
60,0.16999999999999998,12.341264998618877
64,0.178,13.459433155848735
69,0.188,15.010854473621475
78,0.20600000000000002,18.253230140066126
88,0.22599999999999998,22.571376830690504
96,0.242,26.598338534315644
97,0.244,27.138759999470388
98,0.246,27.687559999470388
102,0.254,29.96739926075924
106,0.262,32.384685378836984
106,0.262,32.384685378836984
109,0.268,34.28944942787299
111,0.272,35.60361999524077
112,0.274,36.274124998950654
114,0.278,37.642174895749804
115,0.28,38.33979943660255
116,0.28200000000000003,39.04654318082672
116,0.28200000000000003,39.04654318082672
117,0.28400000000000003,39.762445520535145
119,0.28800000000000003,41.22188271347172
121,0.292,42.718422816550984
122,0.294,43.48070318491947
122,0.294,43.48070318491947
123,0.296,44.25237503227429
124,0.298,45.03347661337626
126,0.302,46.624121224884284
127,0.304,47.433739999370154
127,0.304,47.433739999370154
128,0.306,48.25293999937015
128,0.306,48.25293999937015
128,0.306,48.25293999937015
128,0.306,48.25293999937015
128,0.306,48.25293999937015
128,0.306,48.25293999937015
128,0.306,48.25293999937015
128,0.306,48.25293999937015
128,0.306,48.25293999937015
128,0.306,48.25293999937015
128,0.306,48.25293999937015
128,0.306,48.25293999937015
128,0.306,48.25293999937015
128,0.306,48.25293999937015
128,0.306,48.25293999937015
129,0.308,49.081758725027335
133,0.316,52.49396582501881
137,0.324,56.06303537503344
138,0.326,56.98008664949959
138,0.326,56.98008664949959
138,0.326,56.98008664949959
138,0.326,56.98008664949959
138,0.326,56.98008664949959
139,0.328,57.907123908729226
139,0.328,57.907123908729226
139,0.328,57.907123908729226
139,0.328,57.907123908729226
140,0.33,58.84418313844739
140,0.33,58.84418313844739
140,0.33,58.84418313844739
140,0.33,58.84418313844739
141,0.332,59.791300195626704
141,0.332,59.791300195626704
141,0.332,59.791300195626704
141,0.332,59.791300195626704
141,0.332,59.791300195626704
142,0.334,60.74851080985954
142,0.334,60.74851080985954
143,0.336,61.715850584706
143,0.336,61.715850584706
145,0.33999999999999997,63.68105940824202
145,0.33999999999999997,63.68105940824202
145,0.33999999999999997,63.68105940824202
146,0.34199999999999997,64.67899904569511
147,0.344,65.68720902382466
147,0.344,65.68720902382466
148,0.346,66.70572433544251
148,0.346,66.70572433544251
148,0.346,66.70572433544251
148,0.346,66.70572433544251
148,0.346,66.70572433544251
149,0.348,67.73457985493978
150,0.35,68.77381033948112
150,0.35,68.77381033948112
150,0.35,68.77381033948112
151,0.352,69.82345043017887
152,0.354,70.88353465324796
153,0.356,71.95409742114155
153,0.356,71.95409742114155
154,0.358,73.03517303366827
154,0.358,73.03517303366827
155,0.36,74.12679567909113
155,0.36,74.12679567909113
156,0.362,75.22899943520885
156,0.362,75.22899943520885
157,0.364,76.34181827041968
158,0.366,77.46528604476838
158,0.366,77.46528604476838
159,0.368,78.59943651097645
159,0.368,78.59943651097645
159,0.368,78.59943651097645
159,0.368,78.59943651097645
160,0.37,79.74430331545634
160,0.37,79.74430331545634
164,0.378,84.43160317899269
165,0.38,85.63055271921529
166,0.382,86.84041829852565
166,0.382,86.84041829852565
166,0.382,86.84041829852565
168,0.386,89.29302919308059
171,0.392,93.05463587129513
171,0.392,93.05463587129513
171,0.392,93.05463587129513
171,0.392,93.05463587129513
172,0.394,94.33068577627535
173,0.396,95.61788018272684
173,0.396,95.61788018272684
173,0.396,95.61788018272684
174,0.398,96.9162513469168
175,0.4,98.22583143228768
177,0.40399999999999997,100.8787465609876
179,0.408,103.57688104986767
180,0.41,104.9429849990604
180,0.41,104.9429849990604
182,0.414,107.70942442187135
183,0.416,109.10982287945404
185,0.42,111.945134100481
186,0.422,113.38010933371675
