Bricks,Edges,Ours,Baseline
5,0,0.0,0.0010304999327908665
28,0,0.0,0.12822551245585326
28,16,0.128,0.12822551245585326
32,0,0.0009999275207519531,0.18735958130213748
35,9,0.07299372863769532,0.24050308288381594
40,0,0.0,0.3480967202223318
41,0,0.0,0.37301539344620227
46,0,0.0010056495666503906,0.5158238407375336
47,0,0.0,0.5467716115651833
54,0,0.0,0.8065559199125242
60,11,0.088,1.083316746412756
64,0,0.0010190010070800781,1.2989030136075266
69,43,0.34400000000000003,1.6021730038051707
78,62,0.49700302696228027,2.259382112252828
88,53,0.42500016593933104,3.1667998955809953
96,65,0.5209996891021729,4.040162956292435
97,49,0.39300016593933107,4.159079886808792
98,1,0.009000404357910156,4.2802238817119145
102,68,0.5459948482513428,4.788432835345493
106,69,0.5529994506835938,5.331750221618909
106,60,0.48099992752075194,5.331750698456068
109,35,0.2819922256469727,5.766021128923683
111,66,0.5290044574737549,6.066081141449256
112,0,0.001007080078125,6.220320151394033
114,0,0.0025110244750976562,6.537811188880015
115,1,0.010002716064453125,6.699089220566787
116,61,0.48899873542785643,6.862423813067506
116,71,0.5690001659393311,6.862425243578981
117,60,0.48200748443603514,7.030341107576611
119,64,0.5130075569152832,7.370938992958774
121,5,0.042013206481933595,7.7240344586880765
122,12,0.09700016593933106,7.903044856575417
122,93,0.744999927520752,7.903044618156838
123,0,0.0010004043579101562,8.085744310739413
124,60,0.48100111961364744,8.271137550840782
126,77,0.616995397567749,8.650066790778569
127,81,0.6497983913421631,8.844447143934834
127,100,0.800999927520752,8.843648680113423
128,124,0.9935954971313476,9.040584763230168
128,124,0.9935542507171631,9.040543516815983
128,124,0.9940005702972412,9.040989836396061
128,124,0.992999927520752,9.039989193619572
128,124,0.9939991397857666,9.040988405884587
128,124,0.9938236637115478,9.040812929810368
128,124,0.9940129680633545,9.041002234162175
128,124,0.9939986629486084,9.040987929047429
128,124,0.9949971599578857,9.041986426056706
128,124,0.9936553401947021,9.040644606293522
128,124,0.9939874572753906,9.04097672337421
128,124,0.9937478466033935,9.040737112702214
128,124,0.9940074844360351,9.040996750534855
128,124,0.9940508766174316,9.041040142716252
128,124,0.9941963119506836,9.041185578049504
129,33,0.2650056495666504,9.23911597536467
133,10,0.0819993782043457,10.064746300967432
137,90,0.7220027160644531,10.935259384341576
138,2,0.018000093460083008,11.160180981143558
138,67,0.5380077228546143,11.16018861053809
138,16,0.12991569328308106,11.160096580966556
138,9,0.07400247764587403,11.160183365329349
138,92,0.7379965171813965,11.160177404864871
139,11,0.09049195098876953,11.388550071746955
139,13,0.10600033187866212,11.388058452636848
139,9,0.07400748443603516,11.388065605194221
139,12,0.09799341773986817,11.388051538498054
140,12,0.09799651718139649,11.618901991263076
140,15,0.1220003318786621,11.618905805960342
140,15,0.12202584266662597,11.618931316748306
140,22,0.17823612785339354,11.619141601935073
141,10,0.08209259986877442,11.852832629506596
141,11,0.09000843811035156,11.852748467748173
141,9,0.07400223922729493,11.852742268865116
141,7,0.05800295448303223,11.852742984120853
141,10,0.08200366973876953,11.85274369937659
142,0,0.0019953250885009766,12.089574170113073
142,14,0.11400009346008301,12.089578938484655
143,27,0.21789781188964844,12.32933676555106
143,23,0.18600438499450683,12.329443338655919
145,14,0.1139993782043457,12.81829044289717
145,17,0.1379984245300293,12.818289489222854
145,129,1.034007246017456,12.818298310710281
146,9,0.07399985504150391,13.067316869897489
147,11,0.09099930572509765,13.320431459924457
147,10,0.08299930572509766,13.320431459924457
148,96,0.7699974708557129,13.574650869106776
148,11,0.0900003318786621,13.574653730129725
148,15,0.12208330154418945,13.574736699795253
148,7,0.0579984245300293,13.574651822781092
148,11,0.09000653076171874,13.574659929012782
149,9,0.0749735565185547,13.833971196058673
150,8,0.06599246406555176,14.09447421184839
150,10,0.08199985504150391,14.094481602824342
150,14,0.11499787521362305,14.09547962299646
151,19,0.15412788581848144,14.359250455884885
152,16,0.13000366973876953,14.626940600768583
153,10,0.08200414657592774,14.897945779618073
153,14,0.1137383098602295,14.897679942902375
154,36,0.2900074844360352,15.17216094081431
154,19,0.1541069049835205,15.172260361361795
155,21,0.17000724601745607,15.449596405409496
155,13,0.10699763679504395,15.450586796187084
156,50,0.40299167633056643,15.73125715501754
156,13,0.1069895305633545,15.731255009250328
157,11,0.09024184989929199,16.014440979183846
158,19,0.1545942325592041,16.30200103734936
158,17,0.13800653076171876,16.301413335551874
159,25,0.20199985504150392,16.591905032598117
159,72,0.5779946098327637,16.591899787389377
159,11,0.0899996166229248,16.591904794179538
159,56,0.45099835205078126,16.592903529607394
160,155,1.2430057430267334,16.886716641872276
160,155,1.2430019283294678,16.88671282717501
164,36,0.2910002593994141,18.0953398245131
165,35,0.28400257110595706,18.40693364186732
166,8,0.06699978256225586,18.719929180905996
166,16,0.13101003456115723,18.719939432904898
166,16,0.1310076503753662,18.719937048719107
168,0,0.003089427947998047,19.358301959215158
171,56,0.4510033588409424,20.34160380992238
171,92,0.7400018558502197,20.342602306931656
171,39,0.31600447845458984,20.342604929536027
171,54,0.43504722785949707,20.341647678940934
172,23,0.18650077247619629,20.675886459114157
173,2,0.018999544143676758,21.014692431484892
173,18,0.14752478027343752,21.015217667614653
173,24,0.1950057430267334,21.01469863036795
174,12,0.0990055046081543,21.35654392954909
175,35,0.28299191474914553,21.70193056701981
177,38,0.3063837089538574,22.40285220260792
179,34,0.27600376319885256,23.12041662394883
180,25,0.20300645828247071,23.48283763448493
180,50,0.40299811363220217,23.482829289834662
182,171,1.3709985904693605,24.220639871597832
183,37,0.29999208068847655,24.596057581335767
185,61,0.49200424003601073,25.35603745527262
186,9,0.07580063056945802,25.741409664473295
189,58,0.46817065620422366,26.921068566647925
189,38,0.3080004253387451,26.920898335782447
190,65,0.5229990673065186,27.32056741352135
191,40,0.3230055046081543,27.725058150683118
192,19,0.15499739837646484,28.133364258356433
194,11,0.0920297508239746,28.962578896688772
